Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,47.5,-24.9,90.0,top
C1,25.52,-31.5,180.0,top
C2,25.0,-30.0,180.0,top
C3,38.5,-26.52,90.0,top
C4,40.02,-36.0,180.0,top
C5,29.5,-41.55,90.0,top
C6,31.82,-39.5,270.0,top
C7,46.0,-32.02,90.0,top
C8,40.05,-39.5,0.0,top
C9,44.0,-32.05,90.0,top
CHG1,25.0,-41.5,270.0,top
J1,28.8,-25.375,180.0,top
J3,49.0,-46.15,0.0,top
J4,29.32,-46.815,0.0,top
POWER1,39.6,-46.5,0.0,top
Q1,39.05,-33.05,270.0,top
R1,44.5,-28.0,180.0,top
R10,35.5,-33.5,270.0,top
R2,35.0,-28.0,270.0,top
R3,47.5,-29.0,180.0,top
R4,41.5,-30.5,180.0,top
R5,28.0,-40.0,90.0,top
R6,27.0,-39.99,90.0,top
R7,36.5,-43.74,270.0,top
R8,25.01,-39.0,0.0,top
R9,36.5,-33.49,270.0,top
RST1,42.0,-25.0,270.0,top
STAT1,35.0,-25.2875,90.0,top
U1,30.6375,-33.325,270.0,top
U2,42.584202,-35.75,0.0,top
U3,35.0,-40.61,90.0,top
U4,40.5,-42.5,180.0,top
